# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,0,0,JQRCFVZHNP,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.900000000000000133e-01, 0.000000000000000000e+00, 4.000000000000000083e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,32,37
# x,y,z,u,w
5.600000000000000533e-01, -4.263256414560600742e-18, 4.000000000000000083e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
5.571732375879004939e-01, -4.263256414560600742e-18, 3.978283135722789077e-02, 1.000000000000000000e+00, 3.682042406691152236e-02
5.532773609623381494e-01, -4.263256414560600742e-18, 3.967938093544237654e-02, 1.000000000000000000e+00, 8.220647627261153112e-02
5.479729235904361451e-01, -4.263256414560600742e-18, 3.953763326196436251e-02, 1.000000000000000000e+00, 1.440022120384465143e-01
5.409013482727493827e-01, -4.263256414560600742e-18, 3.934566496445376926e-02, 1.000000000000000000e+00, 2.263857339019313686e-01
5.317343770633671252e-01, -4.263256414560600742e-18, 3.908881071152748438e-02, 1.000000000000000000e+00, 3.331830858063768441e-01
5.202732294017997638e-01, -4.263256414560600742e-18, 3.875243137406499117e-02, 1.000000000000000000e+00, 4.667132275822860055e-01
5.065744964197359534e-01, -4.263256414560600742e-18, 3.832716024732887861e-02, 1.000000000000000000e+00, 6.263209271791859711e-01
4.910550611257823439e-01, -4.263256414560600742e-18, 3.782451146263544201e-02, 1.000000000000000000e+00, 8.071497903868449786e-01
4.745037729055917031e-01, -4.263256414560600742e-18, 3.729268960786744774e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
4.579506629048806232e-01, -7.457689748084940000e-18, 3.682172599682441427e-02, 1.000000000000000000e+00, 1.192850209613154799e+00
4.424282948789861614e-01, -4.263256414560600742e-18, 3.641872390539831889e-02, 1.000000000000000000e+00, 1.373679072820814140e+00
4.287263195211127309e-01, -4.263256414560600742e-18, 3.611753771123746293e-02, 1.000000000000000000e+00, 1.533286772417713939e+00
4.172607774406530967e-01, -4.263256414560600742e-18, 3.602009146850898569e-02, 1.000000000000000000e+00, 1.666816914193623100e+00
