PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.044079, 0.000000, 15.000000, 0.417575 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 1013249.816208, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Low Reynolds Number Prandtl Power Law 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
Fuselage,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 10.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
Fuselage_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 10.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
Wing,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
Wing_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
Wing_1,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Flap_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Flap_1,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Aileron_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Aileron_1,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
H-Tail,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
H-Tail_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
H-Tail_1,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Elevator_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Elevator_1,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
V-Tail,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
V-Tail_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 
[ss] Rudder_0,-1.000000, -1.000000, -1.000000,-1.000000, ,-1.000000, 0.000000,-1.000000, 1.000000,-1.000000, -1.000000, 0.000000 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.000000, 0.000000, 0.000000 
