PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.044079, 0.000000, 15.000000, 0.417575 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 1013249.816208, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Low Reynolds Number Prandtl Power Law 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
Fuselage,0.205631, 1.030000, 0.107625,1.061688, Hoerner Streamlined Body,1057679.705190, 10.000000,0.004294, 1.000000,0.000937, 0.002245, 0.106836 
Fuselage_0,0.205631, 1.030000, 0.107625,1.061688, Hoerner Streamlined Body,1057679.705190, 10.000000,0.004294, 1.000000,0.000937, 0.002245, 0.106836 
Wing,0.839518, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.006658, 0.015944, 0.758812 
Wing_0,0.351626, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.002789, 0.006678, 0.317823 
Wing_1,0.351626, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.002789, 0.006678, 0.317823 
[ss] Flap_0,0.038185, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.000303, 0.000725, 0.034514 
[ss] Flap_1,0.038185, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.000303, 0.000725, 0.034514 
[ss] Aileron_0,0.029948, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.000238, 0.000569, 0.027069 
[ss] Aileron_1,0.029948, 0.146279, 0.080043,1.162548, Hoerner,150210.257434, 0.000000,0.006822, 1.000000,0.000238, 0.000569, 0.027069 
H-Tail,0.071831, 0.082310, 0.099935,1.205854, Hoerner,84522.317729, 0.000000,0.007653, 1.000000,0.000663, 0.001587, 0.075552 
H-Tail_0,0.026417, 0.082310, 0.099935,1.205854, Hoerner,84522.317729, 0.000000,0.007653, 1.000000,0.000244, 0.000584, 0.027785 
H-Tail_1,0.026417, 0.082310, 0.099935,1.205854, Hoerner,84522.317729, 0.000000,0.007653, 1.000000,0.000244, 0.000584, 0.027785 
[ss] Elevator_0,0.009499, 0.082310, 0.099935,1.205854, Hoerner,84522.317729, 0.000000,0.007653, 1.000000,0.000088, 0.000210, 0.009991 
[ss] Elevator_1,0.009499, 0.082310, 0.099935,1.205854, Hoerner,84522.317729, 0.000000,0.007653, 1.000000,0.000088, 0.000210, 0.009991 
V-Tail,0.060772, 0.150831, 0.119859,1.252100, Hoerner,154884.831214, 0.000000,0.006780, 1.000000,0.000516, 0.001235, 0.058800 
V-Tail_0,0.038747, 0.150831, 0.119859,1.252100, Hoerner,154884.831214, 0.000000,0.006780, 1.000000,0.000329, 0.000788, 0.037489 
[ss] Rudder_0,0.022025, 0.150831, 0.119859,1.252100, Hoerner,154884.831214, 0.000000,0.006780, 1.000000,0.000187, 0.000448, 0.021311 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.008774, 0.021012, 1.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.008774, 0.021012, 1.000000 
