# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,0,0,DKEHVMRIVN,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,37
# x,y,z,u,w
3.961189743890079495e-01, 0.000000000000000000e+00, -5.153219662969697051e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
3.892862674752033403e-01, 0.000000000000000000e+00, -5.159069597813195629e-02, 0.000000000000000000e+00, 3.774562952439128316e-02
3.793475086841175403e-01, 0.000000000000000000e+00, -5.157580721530245771e-02, 0.000000000000000000e+00, 8.682883505289228088e-02
3.651771849245056822e-01, 0.000000000000000000e+00, -5.131028518956200213e-02, 0.000000000000000000e+00, 1.568148852002828886e-01
3.455623115575043314e-01, 0.000000000000000000e+00, -5.029964373988841941e-02, 0.000000000000000000e+00, 2.538271458797072833e-01
3.195043558956792151e-01, 0.000000000000000000e+00, -4.765893003051596688e-02, 0.000000000000000000e+00, 3.831674240536857567e-01
2.865783904993648434e-01, 0.000000000000000000e+00, -4.371540314737464017e-02, 0.000000000000000000e+00, 5.469402180863929264e-01
2.474696420813741471e-01, 0.000000000000000000e+00, -3.934699290838394869e-02, 0.000000000000000000e+00, 7.412869319814501257e-01
2.044455076019102702e-01, 0.000000000000000000e+00, -3.485442373388248499e-02, 0.000000000000000000e+00, 9.549243480657042538e-01
1.609319058471896102e-01, 0.000000000000000000e+00, -3.052104984810480315e-02, 0.000000000000000000e+00, 1.170886583752794641e+00
1.205174177974178418e-01, 0.000000000000000000e+00, -2.648790299862357339e-02, 0.000000000000000000e+00, 1.371471792093658548e+00
8.585748132103940278e-02, 0.000000000000000000e+00, -2.274382955051640343e-02, 0.000000000000000000e+00, 1.543642326950877663e+00
5.812625008023598189e-02, 0.000000000000000000e+00, -1.922824069586145587e-02, 0.000000000000000000e+00, 1.681696563566634328e+00
3.717815529309778655e-02, 0.000000000000000000e+00, -1.587448045526054091e-02, 0.000000000000000000e+00, 1.786475287602873996e+00
2.208457643768984777e-02, 0.000000000000000000e+00, -1.263881597296501180e-02, 0.000000000000000000e+00, 1.862729341668460048e+00
1.163708222983780849e-02, 0.000000000000000000e+00, -9.559631082664820159e-03, 0.000000000000000000e+00, 1.916544885669175802e+00
