PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.044079, 0.000000, 15.000000, 0.937496 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 1013249.816208, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Blasius Power Law 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
WingGeom,1.915149, 0.279687, 0.120246,1.253035, Hoerner,287203.384739, 0.000000,0.005830, 1.000000,0.013991, 0.014924, 1.000000 
WingGeom_0,0.946351, 0.279687, 0.120246,1.253035, Hoerner,287203.384739, 0.000000,0.005830, 1.000000,0.006914, 0.007375, 0.494140 
WingGeom_1,0.946351, 0.279687, 0.120246,1.253035, Hoerner,287203.384739, 0.000000,0.005830, 1.000000,0.006914, 0.007375, 0.494140 
[ss] Aileron_0,0.011223, 0.279687, 0.120246,1.253035, Hoerner,287203.384739, 0.000000,0.005830, 1.000000,0.000082, 0.000087, 0.005860 
[ss] Aileron_1,0.011223, 0.279687, 0.120246,1.253035, Hoerner,287203.384739, 0.000000,0.005830, 1.000000,0.000082, 0.000087, 0.005860 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.013991, 0.014924, 1.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.013991, 0.014924, 1.000000 
