Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,0.242815,0.231950,0.004720,0.004612
Wing,0.625771,0.598102,0.004227,0.004132
H-Tail,0.105044,0.102150,0.000365,0.000363
V-Tail,0.069585,0.061466,0.000337,0.000304
Totals,1.043215,0.993667,0.009648,0.009411

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_Surf0,0.242815,0.231950
Wing_Surf0,0.248975,0.235141
Wing_Surf1,0.248975,0.235141
H-Tail_Surf0,0.038190,0.036992
H-Tail_Surf1,0.038190,0.036992
V-Tail_Surf0,0.053664,0.045757
MeshGeom_Surf0,0.000000,0.000000
MeshGeom_Surf0,0.000000,0.000000
MeshGeom_Surf0,0.000000,0.000000
MeshGeom_Surf0,0.000000,0.000000
Wing_Surf0,Flap,0.023097,0.023097
Wing_Surf0,Aileron,0.040813,0.040813
Wing_Surf1,Flap,0.023097,0.023097
Wing_Surf1,Aileron,0.040813,0.040813
H-Tail_Surf0,Elevator,0.014332,0.014083
H-Tail_Surf1,Elevator,0.014332,0.014083
V-Tail_Surf0,Rudder,0.015921,0.015709
