PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.044079, 0.000000, 15.000000, 0.293641 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 1013249.816208, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Incompressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
Fuselage,0.231950, 0.952618, 0.118091,1.072399, Hoerner Streamlined Body,978218.285678, 0.000000,0.005374, 1.000000,0.001337, 0.004552, 0.163754 
Fuselage_0,0.231950, 0.952618, 0.118091,1.072399, Hoerner Streamlined Body,978218.285678, 0.000000,0.005374, 1.000000,0.001337, 0.004552, 0.163754 
Wing,0.598102, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.005249, 0.017876, 0.643018 
Wing_0,0.235141, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.002064, 0.007028, 0.252799 
Wing_1,0.235141, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.002064, 0.007028, 0.252799 
[ss] Flap_0,0.023097, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.000203, 0.000690, 0.024832 
[ss] Flap_1,0.023097, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.000203, 0.000690, 0.024832 
[ss] Aileron_0,0.040813, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.000358, 0.001220, 0.043878 
[ss] Aileron_1,0.040813, 0.197964, 0.100448,1.207005, Hoerner,203283.949037, 0.000000,0.007271, 1.000000,0.000358, 0.001220, 0.043878 
H-Tail,0.102150, 0.102525, 0.099935,1.205854, Hoerner,105279.997510, 0.000000,0.008350, 1.000000,0.001029, 0.003503, 0.125995 
H-Tail_0,0.036992, 0.102525, 0.099935,1.205854, Hoerner,105279.997510, 0.000000,0.008350, 1.000000,0.000372, 0.001268, 0.045627 
H-Tail_1,0.036992, 0.102525, 0.099935,1.205854, Hoerner,105279.997510, 0.000000,0.008350, 1.000000,0.000372, 0.001268, 0.045627 
[ss] Elevator_0,0.014083, 0.102525, 0.099935,1.205854, Hoerner,105279.997510, 0.000000,0.008350, 1.000000,0.000142, 0.000483, 0.017370 
[ss] Elevator_1,0.014083, 0.102525, 0.099935,1.205854, Hoerner,105279.997510, 0.000000,0.008350, 1.000000,0.000142, 0.000483, 0.017370 
V-Tail,0.061466, 0.181142, 0.099935,1.205854, Hoerner,186009.444581, 0.000000,0.007405, 1.000000,0.000549, 0.001869, 0.067234 
V-Tail_0,0.045757, 0.181142, 0.099935,1.205854, Hoerner,186009.444581, 0.000000,0.007405, 1.000000,0.000409, 0.001391, 0.050051 
[ss] Rudder_0,0.015709, 0.181142, 0.099935,1.205854, Hoerner,186009.444581, 0.000000,0.007405, 1.000000,0.000140, 0.000478, 0.017183 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.008163, 0.027800, 1.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.008163, 0.027800, 1.000000 
