# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,0,0,YLMVFHUIXW,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.996000000000000107e-01, 0.000000000000000000e+00, 5.399999999999999939e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,22,33
# x,y,z,u,w
7.294606042819702374e-01, 6.963318810448981597e-17, 4.103900043643495671e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
7.231681370281568544e-01, -2.647079603475132410e-17, 4.102649471736134063e-02, 0.000000000000000000e+00, 4.173311976788848798e-02
7.141258128851235565e-01, -7.498956392287737978e-17, 4.101725937737952382e-02, 0.000000000000000000e+00, 9.595583006934514658e-02
7.014010565469666059e-01, -6.891185892102503703e-17, 4.102053644491954199e-02, 0.000000000000000000e+00, 1.722603643809274832e-01
6.840118105796434422e-01, -8.699659764382731909e-17, 4.105268862531867569e-02, 0.000000000000000000e+00, 2.765358755368439447e-01
6.611770719647043215e-01, 1.825729969416212984e-17, 4.113977176587052531e-02, 0.000000000000000000e+00, 4.134663504172014781e-01
6.327121183535735494e-01, -1.223885850897136058e-17, 4.132407986212370543e-02, 0.000000000000000000e+00, 5.841612375912467181e-01
5.994444899231118340e-01, -1.300637207270791266e-16, 4.167687760326006102e-02, 0.000000000000000000e+00, 7.836633902842906618e-01
5.633733701499357149e-01, 1.406874616804998484e-16, 4.231559685068472104e-02, 0.000000000000000000e+00, 1.000000000000000000e+00
5.273129227778564632e-01, -7.505094480469798000e-17, 4.339434024266370510e-02, 0.000000000000000000e+00, 1.216336609715709338e+00
4.940845046945155916e-01, -2.558688814588746792e-17, 4.503309867737931294e-02, 0.000000000000000000e+00, 1.415838762408753171e+00
4.657052257442521048e-01, 1.647443141435394373e-16, 4.723167863519139864e-02, 0.000000000000000000e+00, 1.586533649582798411e+00
4.429555575407797541e-01, -5.231752484058151019e-17, 4.919905876180097337e-02, 0.000000000000000000e+00, 1.723464124463156111e+00
4.256265061360707813e-01, -1.123700355703847764e-16, 5.064378439762358408e-02, 0.000000000000000000e+00, 1.827739635619072489e+00
4.129980808167439399e-01, 1.191461426870388001e-16, 5.218689971433959629e-02, 0.000000000000000000e+00, 1.904044169930654951e+00
4.042319662476075992e-01, 9.573895163536699071e-17, 5.434398974890254641e-02, 0.000000000000000000e+00, 1.958266880232111484e+00
3.997131319060099330e-01, 1.236344360222574238e-16, 5.832033318785501130e-02, 0.000000000000000000e+00, 2.000000000000000000e+00
4.030496703050011620e-01, 4.707601159402851083e-17, 6.341942939325836970e-02, 0.000000000000000000e+00, 2.041733119767888294e+00
4.112051460756674937e-01, 6.336071158565842016e-17, 6.759015927278580471e-02, 0.000000000000000000e+00, 2.095955830069344827e+00
4.235611620489617701e-01, -1.023579965531735604e-16, 7.133915533779656981e-02, 0.000000000000000000e+00, 2.172260364380927289e+00
4.409533238894137730e-01, -2.499997429980736033e-17, 7.434295005495410169e-02, 0.000000000000000000e+00, 2.276535875536843889e+00
4.640928778663771515e-01, 8.898477960630739910e-17, 7.565445767280785938e-02, 0.000000000000000000e+00, 2.413466350417201589e+00
4.929858958197798069e-01, -1.112534016112035448e-16, 7.483950193660490746e-02, 0.000000000000000000e+00, 2.584161237591246607e+00
5.266874665116800802e-01, -5.037418511448391729e-18, 7.248490559434253577e-02, 0.000000000000000000e+00, 2.783663390284290440e+00
5.631278523522156298e-01, 2.941646926046814720e-16, 6.871160440631826627e-02, 0.000000000000000000e+00, 3.000000000000000000e+00
5.994561336178062527e-01, -7.247724788626278297e-17, 6.397580077237799423e-02, 0.000000000000000000e+00, 3.216336609715709116e+00
6.328606005160744008e-01, -6.757075256708457763e-17, 5.891861152950945979e-02, 0.000000000000000000e+00, 3.415838762408752949e+00
6.613685534813573685e-01, -4.224525910303486509e-17, 5.413293471574192467e-02, 0.000000000000000000e+00, 3.586533649582798411e+00
6.841875150317702214e-01, 4.540577093712676226e-17, 5.000704673270328637e-02, 0.000000000000000000e+00, 3.723464124463156111e+00
7.015333468163218456e-01, 4.681870679037990206e-17, 4.669638925976057897e-02, 0.000000000000000000e+00, 3.827739635619072267e+00
7.142080469453924163e-01, 3.693020533070149547e-18, 4.417992884237402496e-02, 0.000000000000000000e+00, 3.904044169930655173e+00
7.232048654970449908e-01, 1.687997341700795564e-17, 4.234235362776814920e-02, 0.000000000000000000e+00, 3.958266880232111262e+00
7.294606042819702374e-01, 6.963318810448981597e-17, 4.103900043643495671e-02, 0.000000000000000000e+00, 4.000000000000000000e+00
7.294380252917318508e-01, 1.133840751166323574e-01, 4.103988761810754837e-02, 2.092384320792402830e-01, 0.000000000000000000e+00
7.231459887579106960e-01, 1.133840751166432514e-01, 4.102738275505127263e-02, 2.092384320792402830e-01, 4.173311976788848798e-02
7.141042835628388374e-01, 1.133840751166588640e-01, 4.101814804722889868e-02, 2.092384320792402830e-01, 9.595583006934514658e-02
7.013803982354825939e-01, 1.133840751166807909e-01, 4.102142489045270540e-02, 2.092384320792402830e-01, 1.722603643809274832e-01
6.839923425637258747e-01, 1.133840751167107391e-01, 4.105357487003111899e-02, 2.092384320792402830e-01, 2.765358755368439447e-01
6.611591669888516876e-01, 1.133840751167499994e-01, 4.114065204973243323e-02, 2.092384320792402830e-01, 4.134663504172014781e-01
6.326961713821492861e-01, 1.133840751167990990e-01, 4.132529415770230807e-02, 2.092384320792402830e-01, 5.841612375912467181e-01
5.994308105484652538e-01, 1.133840751168565253e-01, 4.167772112217238423e-02, 2.092384320792402830e-01, 7.836633902842906618e-01
5.633621598469233938e-01, 1.133840751169185590e-01, 4.231639664920103239e-02, 2.092384320792402830e-01, 1.000000000000000000e+00
5.273042013116104876e-01, 1.133840751169808425e-01, 4.339519256109508616e-02, 2.092384320792402830e-01, 1.216336609715709338e+00
4.940780372210389348e-01, 1.133840751170381855e-01, 4.503371246262951461e-02, 2.092384320792402830e-01, 1.415838762408753171e+00
4.657007008351621291e-01, 1.133840751170872296e-01, 4.723214192742958284e-02, 2.092384320792402830e-01, 1.586533649582798411e+00
4.429525898486763591e-01, 1.133840751171267397e-01, 4.919938738667824218e-02, 2.092384320792402830e-01, 1.723464124463156111e+00
4.256248924589624560e-01, 1.133840751171567851e-01, 5.064478972309593985e-02, 2.092384320792402830e-01, 1.827739635619072489e+00
4.129971771755238108e-01, 1.133840751171785316e-01, 5.218705761316442399e-02, 2.092384320792402830e-01, 1.904044169930654951e+00
4.042321448353258795e-01, 1.133840751171938527e-01, 5.434448724589480140e-02, 2.092384320792402830e-01, 1.958266880232111484e+00
3.997131241621195707e-01, 1.133840751172019851e-01, 5.832003746061421856e-02, 2.092384320792402830e-01, 2.000000000000000000e+00
4.030501622390826322e-01, 1.133840751171966699e-01, 6.341834416435521149e-02, 2.092384320792402830e-01, 2.041733119767888294e+00
4.112043766924217691e-01, 1.133840751171829725e-01, 6.758919728566234464e-02, 2.092384320792402830e-01, 2.095955830069344827e+00
4.235595219051030424e-01, 1.133840751171621697e-01, 7.133796847092276072e-02, 2.092384320792402830e-01, 2.172260364380927289e+00
4.409504932503962582e-01, 1.133840751171324157e-01, 7.434155757804250531e-02, 2.092384320792402830e-01, 2.276535875536843889e+00
4.640884633226536882e-01, 1.133840751170925171e-01, 7.565297542307425349e-02, 2.092384320792402830e-01, 2.413466350417201589e+00
