PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.044079, 0.000000, 15.000000, 0.626589 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 1013249.816208, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Incompressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
Wing,1.266800, 0.309590, 0.090338,1.184672, Hoerner,317909.283974, 0.000000,0.006646, 1.000000,0.009974, 0.015919, 0.695408 
Wing_0,0.570621, 0.309590, 0.090338,1.184672, Hoerner,317909.283974, 0.000000,0.006646, 1.000000,0.004493, 0.007170, 0.313242 
Wing_1,0.570621, 0.309590, 0.090338,1.184672, Hoerner,317909.283974, 0.000000,0.006646, 1.000000,0.004493, 0.007170, 0.313242 
[ss] Aileron_0,0.062779, 0.309590, 0.090338,1.184672, Hoerner,317909.283974, 0.000000,0.006646, 1.000000,0.000494, 0.000789, 0.034462 
[ss] Aileron_1,0.062779, 0.309590, 0.090338,1.184672, Hoerner,317909.283974, 0.000000,0.006646, 1.000000,0.000494, 0.000789, 0.034462 
Fuselage,0.411449, 1.079837, 0.126735,1.081926, Hoerner Streamlined Body,1108856.281108, 0.000000,0.005254, 1.000000,0.002339, 0.003733, 0.163057 
Fuselage_0,0.411449, 1.079837, 0.126735,1.081926, Hoerner Streamlined Body,1108856.281108, 0.000000,0.005254, 1.000000,0.002339, 0.003733, 0.163057 
VTail,0.189587, 0.166893, 0.089389,1.182609, Hoerner,171377.953057, 0.000000,0.007531, 1.000000,0.001689, 0.002695, 0.117725 
VTail_0,0.071850, 0.166893, 0.089389,1.182609, Hoerner,171377.953057, 0.000000,0.007531, 1.000000,0.000640, 0.001021, 0.044615 
VTail_1,0.071850, 0.166893, 0.089389,1.182609, Hoerner,171377.953057, 0.000000,0.007531, 1.000000,0.000640, 0.001021, 0.044615 
[ss] Rudervator_0,0.022944, 0.166893, 0.089389,1.182609, Hoerner,171377.953057, 0.000000,0.007531, 1.000000,0.000204, 0.000326, 0.014247 
[ss] Rudervator_1,0.022944, 0.166893, 0.089389,1.182609, Hoerner,171377.953057, 0.000000,0.007531, 1.000000,0.000204, 0.000326, 0.014247 
Ventral,0.041048, 0.234075, 0.089954,1.183837, Hoerner,240365.699014, 0.000000,0.007028, 1.000000,0.000342, 0.000545, 0.023809 
Ventral_0,0.041048, 0.234075, 0.089954,1.183837, Hoerner,240365.699014, 0.000000,0.007028, 1.000000,0.000342, 0.000545, 0.023809 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.014343, 0.022891, 1.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.014343, 0.022891, 1.000000 
