PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.067588, 0.000000, 23.000000, 0.785946 

Temp (°C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 2116.216195, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Incompressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf (1e-3),Q (Interference Factor),f,Cd,% Total 
FuselageGeom,0.449635, 1.319075, 0.103549,1.057754, Hoerner Streamlined Body,2076935.433114, 0.000000,0.004705, 1.000000,0.002238, 0.002847, 0.093307 
FuselageGeom_0,0.394472, 1.319075, 0.103549,1.057754, Hoerner Streamlined Body,2076935.433114, 0.000000,0.004705, 1.000000,0.001963, 0.002498, 0.093307 
Nacelle,0.055163, 1.319075, 0.103549,1.057754, Hoerner Streamlined Body,2076935.433114, 0.000000,0.004705, 1.000000,0.000000, 0.000000, 0.000000 
Nacelle_0,0.055163, 1.319075, 0.103549,1.057754, Hoerner Streamlined Body,2076935.433114, 0.000000,0.004705, 1.000000,0.000000, 0.000000, 0.000000 
Wing,1.586351, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.013829, 0.017595, 0.657205 
Wing_0,0.685295, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.005974, 0.007601, 0.283909 
Wing_1,0.685295, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.005974, 0.007601, 0.283909 
[ss] Flap_0,0.051986, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.000453, 0.000577, 0.021537 
[ss] Flap_1,0.051986, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.000453, 0.000577, 0.021537 
[ss] Aileron_0,0.055894, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.000487, 0.000620, 0.023156 
[ss] Aileron_1,0.055894, 0.400239, 0.199979,1.495919, Hoerner,630192.551060, 0.000000,0.005827, 1.000000,0.000487, 0.000620, 0.023156 
H-Tail,0.387703, 0.255089, 0.249725,1.732797, Hoerner,401646.944289, 0.000000,0.006349, 1.000000,0.004266, 0.005427, 0.202720 
H-Tail_0,0.137456, 0.255089, 0.249725,1.732797, Hoerner,401646.944289, 0.000000,0.006349, 1.000000,0.001512, 0.001924, 0.071872 
H-Tail_1,0.137456, 0.255089, 0.249725,1.732797, Hoerner,401646.944289, 0.000000,0.006349, 1.000000,0.001512, 0.001924, 0.071872 
[ss] Elevator_0,0.056396, 0.255089, 0.249725,1.732797, Hoerner,401646.944289, 0.000000,0.006349, 1.000000,0.000620, 0.000789, 0.029488 
[ss] Elevator_1,0.056396, 0.255089, 0.249725,1.732797, Hoerner,401646.944289, 0.000000,0.006349, 1.000000,0.000620, 0.000789, 0.029488 
V-Tail,0.133136, 0.364792, 0.095255,1.195450, Hoerner,574378.825278, 0.000000,0.005930, 1.000000,0.000944, 0.001201, 0.044853 
V-Tail_0,0.065871, 0.364792, 0.095255,1.195450, Hoerner,574378.825278, 0.000000,0.005930, 1.000000,0.000467, 0.000594, 0.022192 
[ss] Rudder_0,0.067265, 0.364792, 0.095255,1.195450, Hoerner,574378.825278, 0.000000,0.005930, 1.000000,0.000477, 0.000607, 0.022661 
Motor,0.000340, 0.054000, 1.151710,13.547675, Hoerner Streamlined Body,85025.125815, 0.000000,0.008748, 1.000000,0.000040, 0.000051, 0.001914 
Motor_0,0.000340, 0.054000, 1.151710,13.547675, Hoerner Streamlined Body,85025.125815, 0.000000,0.008748, 1.000000,0.000040, 0.000051, 0.001914 

Excrescences, Type, Input
 Firewall (no Nacelle = 0.012), CD, 0.000000, , , , , , , ,0.000000, 0.000000, 0.000000 

 , , , , , , , , , Geometry Sub-Total:, 0.021042, 0.026772, 1.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.021042, 0.026772, 1.000000 
