# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,QRSSLUYXHJ,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.587500000000000022e-01, 0.000000000000000000e+00, 4.445000000000000340e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,24,37
# x,y,z,u,w
4.191000000000000281e-01, 0.000000000000000000e+00, 4.445000000000000340e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
4.147580026826315214e-01, 0.000000000000000000e+00, 4.374537290198125122e-02, 0.000000000000000000e+00, 3.682042406691152236e-02
4.087505148049336290e-01, 0.000000000000000000e+00, 4.279036117655821841e-02, 0.000000000000000000e+00, 8.220647627261153112e-02
4.005654616495807341e-01, 0.000000000000000000e+00, 4.152521948160060872e-02, 0.000000000000000000e+00, 1.440022120384465143e-01
3.896442343262022656e-01, 0.000000000000000000e+00, 3.989963727152839174e-02, 0.000000000000000000e+00, 2.263857339019312576e-01
3.754718869767160738e-01, 0.000000000000000000e+00, 3.789354042262171873e-02, 0.000000000000000000e+00, 3.331830858063768441e-01
3.577301261619139083e-01, 0.000000000000000000e+00, 3.554530677698838209e-02, 0.000000000000000000e+00, 4.667132275822860055e-01
3.364927723542780469e-01, 0.000000000000000000e+00, 3.298186096841970727e-02, 0.000000000000000000e+00, 6.263209271791859711e-01
3.123911266605781667e-01, 0.000000000000000000e+00, 3.043763538196003413e-02, 0.000000000000000000e+00, 8.071497903868449786e-01
2.866382113518116670e-01, 0.000000000000000000e+00, 2.824031268552251034e-02, 0.000000000000000000e+00, 1.000000000000000000e+00
2.608355074009085506e-01, 0.000000000000000000e+00, 2.674444561706239287e-02, 0.000000000000000000e+00, 1.192850209613155021e+00
2.366069386635164251e-01, 0.000000000000000000e+00, 2.622028540617379541e-02, 0.000000000000000000e+00, 1.373679072820814140e+00
2.152243806676223392e-01, 0.000000000000000000e+00, 2.675994869476078231e-02, 0.000000000000000000e+00, 1.533286772417713939e+00
1.973944651800254579e-01, 0.000000000000000000e+00, 2.826696069682886267e-02, 0.000000000000000000e+00, 1.666816914193623100e+00
1.832655796776525570e-01, 0.000000000000000000e+00, 3.053401608878282547e-02, 0.000000000000000000e+00, 1.773614266098068715e+00
1.725974796044539017e-01, 0.000000000000000000e+00, 3.335747328012454022e-02, 0.000000000000000000e+00, 1.855997787961553458e+00
1.650053136367834739e-01, 0.000000000000000000e+00, 3.663639570457293687e-02, 0.000000000000000000e+00, 1.917793523727388427e+00
