PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.049956, 0.000000, 17.000000, 0.309334 

Temp (C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 2116.216195, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
FuselageGeom,0.190763, 0.889344, 9.066941,1.064333, Hoerner Streamlined Body,1035009.098317, 0.000000,0.004442, 1.000000,0.000902, 0.002916, 3.816066 
FuselageGeom_0,0.190763, 0.889344, 9.066941,1.064333, Hoerner Streamlined Body,1035009.098317, 0.000000,0.004442, 1.000000,0.000902, 0.002916, 3.816066 
Wing,0.624403, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.006202, 0.020048, 26.239354 
Wing_0,0.267187, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.002654, 0.008579, 11.228023 
Wing_1,0.267187, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.002654, 0.008579, 11.228023 
[ss] Flap_0,0.022870, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.000227, 0.000734, 0.961051 
[ss] Flap_1,0.022870, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.000227, 0.000734, 0.961051 
[ss] Aileron_0,0.022145, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.000220, 0.000711, 0.930603 
[ss] Aileron_1,0.022145, 0.241679, 0.249725,1.732797, Hoerner,281264.089963, 0.000000,0.005732, 1.000000,0.000220, 0.000711, 0.930603 
H-Tail,0.169565, 0.168433, 0.250072,1.734789, Hoerner,196020.802862, 0.000000,0.006180, 1.000000,0.001818, 0.005877, 7.692017 
H-Tail_0,0.060498, 0.168433, 0.250072,1.734789, Hoerner,196020.802862, 0.000000,0.006180, 1.000000,0.000649, 0.002097, 2.744404 
H-Tail_1,0.060498, 0.168433, 0.250072,1.734789, Hoerner,196020.802862, 0.000000,0.006180, 1.000000,0.000649, 0.002097, 2.744404 
[ss] Elevator_0,0.024284, 0.168433, 0.250072,1.734789, Hoerner,196020.802862, 0.000000,0.006180, 1.000000,0.000260, 0.000842, 1.101604 
[ss] Elevator_1,0.024284, 0.168433, 0.250072,1.734789, Hoerner,196020.802862, 0.000000,0.006180, 1.000000,0.000260, 0.000842, 1.101604 
V-Tail,0.054005, 0.230838, 0.058798,1.118313, Hoerner,268646.440014, 0.000000,0.005786, 1.000000,0.000349, 0.001130, 1.478574 
V-Tail_0,0.025210, 0.230838, 0.058798,1.118313, Hoerner,268646.440014, 0.000000,0.005786, 1.000000,0.000163, 0.000527, 0.690200 
[ss] Rudder_0,0.028795, 0.230838, 0.058798,1.118313, Hoerner,268646.440014, 0.000000,0.005786, 1.000000,0.000186, 0.000602, 0.788374 
Motor,0.008264, 0.050800, 1.350648,4.796602, Hoerner Streamlined Body,59120.530317, 0.000000,0.008073, 1.000000,0.000320, 0.001034, 1.353894 
Motor_0,0.008264, 0.050800, 1.350648,4.796602, Hoerner Streamlined Body,59120.530317, 0.000000,0.008073, 1.000000,0.000320, 0.001034, 1.353894 

Excrescences, Type, Input
 Firewall, CD, 0.025400, , , , , , , ,0.007857, 0.025400, 33.243842 
 LandingGear, CD, 0.020000, , , , , , , ,0.006187, 0.020000, 26.176253 

 , , , , , , , , , Geometry Sub-Total:, 0.009591, 0.031005, 40.579905 
 , , , , , , , , , Excrescence Sub-Total:, 0.014044, 0.045400, 59.420095 
 , , , , , , , , , Totals:, 0.023635, 0.076405, 100.000000 
