PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (m/s), S_ref (m^2)
0.058772, 0.000000, 20.000000, 0.512584 

Temp (C), Pressure (lbf/ft^2), Density (kg/m^3) 
15.000000, 2116.216195, 1.224978 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Blasius Power Law 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
Wing,1.074346, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.009925, 0.019362, 41.059462 
Wing_0,0.471720, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.004358, 0.008501, 18.028224 
Wing_1,0.471720, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.004358, 0.008501, 18.028224 
[ss] Flap_0,0.033247, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.000307, 0.000599, 1.270643 
[ss] Flap_1,0.033247, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.000307, 0.000599, 1.270643 
[ss] Aileron_0,0.032206, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.000298, 0.000580, 1.230864 
[ss] Aileron_1,0.032206, 0.328157, 0.249725,1.732797, Hoerner,449300.985954, 0.000000,0.005331, 1.000000,0.000298, 0.000580, 1.230864 
H-Tail,0.250018, 0.202120, 0.250072,1.734789, Hoerner,276735.251099, 0.000000,0.005874, 1.000000,0.002548, 0.004970, 10.539828 
H-Tail_0,0.095831, 0.202120, 0.250072,1.734789, Hoerner,276735.251099, 0.000000,0.005874, 1.000000,0.000977, 0.001905, 4.039897 
H-Tail_1,0.095831, 0.202120, 0.250072,1.734789, Hoerner,276735.251099, 0.000000,0.005874, 1.000000,0.000977, 0.001905, 4.039897 
[ss] Elevator_0,0.029178, 0.202120, 0.250072,1.734789, Hoerner,276735.251099, 0.000000,0.005874, 1.000000,0.000297, 0.000580, 1.230017 
[ss] Elevator_1,0.029178, 0.202120, 0.250072,1.734789, Hoerner,276735.251099, 0.000000,0.005874, 1.000000,0.000297, 0.000580, 1.230017 
V-Tail,0.093411, 0.277005, 0.058798,1.118313, Hoerner,379265.562373, 0.000000,0.005515, 1.000000,0.000576, 0.001124, 2.383415 
V-Tail_0,0.057873, 0.277005, 0.058798,1.118313, Hoerner,379265.562373, 0.000000,0.005515, 1.000000,0.000357, 0.000696, 1.476664 
[ss] Rudder_0,0.035537, 0.277005, 0.058798,1.118313, Hoerner,379265.562373, 0.000000,0.005515, 1.000000,0.000219, 0.000428, 0.906751 

Excrescences, Type, Input
 Firewall, CD, 0.017400, , , , , , , ,0.008919, 0.017400, 36.898661 
 LandingGear, CD, 0.004300, , , , , , , ,0.002204, 0.004300, 9.118635 

 , , , , , , , , , Geometry Sub-Total:, 0.013048, 0.025456, 53.982705 
 , , , , , , , , , Excrescence Sub-Total:, 0.011123, 0.021700, 46.017295 
 , , , , , , , , , Totals:, 0.024172, 0.047156, 100.000000 
