Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Wing,3.894764,3.894764,0.088904,0.088904
Totals,3.894764,3.894764,0.088904,0.088904

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Wing_Surf0,1.674384,1.674384
Wing_Surf1,1.674384,1.674384
Wing_Surf0,TE1,0.046811,0.046811
Wing_Surf0,TE2,0.048578,0.048578
Wing_Surf0,TE3,0.048643,0.048643
Wing_Surf0,TE4,0.048402,0.048402
Wing_Surf0,TE5,0.048563,0.048563
Wing_Surf0,LE1,0.032002,0.032002
Wing_Surf1,TE1,0.046811,0.046811
Wing_Surf1,TE2,0.048578,0.048578
Wing_Surf1,TE3,0.048643,0.048643
Wing_Surf1,TE4,0.048402,0.048402
Wing_Surf1,TE5,0.048563,0.048563
Wing_Surf1,LE1,0.032002,0.032002
