# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
4

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,0,0,QAXPEGLYFF,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,58,21
# x,y,z,u,w
1.149994242191314298e+00, 3.019806626980426007e-17, 1.508224997669458355e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
1.111341862071336450e+00, -1.872085040488782700e-17, 2.414650075260105829e-03, 0.000000000000000000e+00, 7.194714884979341862e-02
1.043224268676202104e+00, 3.716767387187189926e-17, -1.739109922806043179e-02, 0.000000000000000000e+00, 1.906977409129814449e-01
9.315827281169213325e-01, 4.057738381205662838e-18, -4.528471846307009774e-02, 0.000000000000000000e+00, 3.833411826705370173e-01
7.684935096740634908e-01, -2.106670273400288727e-17, -7.542859716500070755e-02, 0.000000000000000000e+00, 6.610253111644632806e-01
5.669091535067379839e-01, 2.202682480856310499e-17, -9.184642398642400840e-02, 0.000000000000000000e+00, 1.000000000000000000e+00
3.648608104645739703e-01, -4.965093089931526992e-18, -7.941106770157746464e-02, 0.000000000000000000e+00, 1.338974688835536719e+00
1.999134508713587000e-01, 1.203693162890101851e-17, -6.203400604640570831e-02, 0.000000000000000000e+00, 1.616658817329462927e+00
8.664344360553866142e-02, 1.203478473016868186e-17, -4.189805187100090200e-02, 0.000000000000000000e+00, 1.809302259087018472e+00
1.972934993483733274e-02, -2.018111417644903356e-17, -1.913966514676978745e-02, 0.000000000000000000e+00, 1.928052851150206637e+00
5.684341886080801605e-17, 1.847411112976260398e-17, 1.483500050380825129e-02, 0.000000000000000000e+00, 2.000000000000000000e+00
2.170624483858890966e-02, -8.431496790627681513e-18, 4.751511772429989344e-02, 0.000000000000000000e+00, 2.071947148849793585e+00
8.771514825436169116e-02, -4.745874848452353841e-18, 7.361492666847016531e-02, 0.000000000000000000e+00, 2.190697740912981306e+00
2.007558304728228604e-01, -2.183087255296961802e-18, 9.702478515596785202e-02, 0.000000000000000000e+00, 2.383341182670537073e+00
3.663049629768122539e-01, 4.320849486687054270e-17, 1.144126350084228722e-01, 0.000000000000000000e+00, 2.661025311164463503e+00
5.694412596538735993e-01, 1.492139745096210298e-17, 1.182976391937438226e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
7.715973881163969983e-01, 3.694012215726743451e-18, 9.848762363098792494e-02, 0.000000000000000000e+00, 3.338974688835536497e+00
9.349718315798001278e-01, 3.835388750849823180e-17, 6.645537001158399737e-02, 0.000000000000000000e+00, 3.616658817329462927e+00
1.047519130529617204e+00, 1.379257889377722550e-17, 4.043824587946927979e-02, 0.000000000000000000e+00, 3.809302259087018250e+00
1.116719648102935336e+00, 4.443487009951396808e-18, 2.365254226994646658e-02, 0.000000000000000000e+00, 3.928052851150206415e+00
1.149994242191314298e+00, 3.019806626980426007e-17, 1.508224997669458355e-02, 0.000000000000000000e+00, 4.000000000000000000e+00
1.140607648269313490e+00, 2.318628010961792593e-02, 1.356664864695567886e-02, 1.733823643400994041e-01, 0.000000000000000000e+00
1.103117528712545425e+00, 2.327959062102951532e-02, 9.379874955329146587e-04, 1.733823643400994041e-01, 7.194714884979341862e-02
1.036907913566154305e+00, 2.342284481294291953e-02, -1.845115956943548310e-02, 1.733823643400994041e-01, 1.906977409129814449e-01
9.281937138574213320e-01, 2.361885828480505406e-02, -4.498360669035031401e-02, 1.733823643400994041e-01, 3.833411826705370173e-01
7.693877502272685742e-01, 2.382686698184001764e-02, -7.314097955499147818e-02, 1.733823643400994041e-01, 6.610253111644632806e-01
5.733445767317564279e-01, 2.394923516067363339e-02, -8.970089876298772968e-02, 1.733823643400994041e-01, 1.000000000000000000e+00
3.767930520324553889e-01, 2.387522576818835660e-02, -7.967519004403236793e-02, 1.733823643400994041e-01, 1.338974688835536719e+00
2.164216181752429136e-01, 2.374735226733280455e-02, -6.236727510152480919e-02, 1.733823643400994041e-01, 1.616658817329462927e+00
1.065243792270497841e-01, 2.359387560061627920e-02, -4.159681680018865318e-02, 1.733823643400994041e-01, 1.809302259087018472e+00
4.201430460198214700e-02, 2.342024481776773179e-02, -1.809931855625454208e-02, 1.733823643400994041e-01, 1.928052851150206637e+00
2.307484391840297980e-02, 2.317542083328259089e-02, 1.503838617806903949e-02, 1.733823643400994041e-01, 2.000000000000000000e+00
4.404956979149030061e-02, 2.293966224782019447e-02, 4.694867690789911868e-02, 1.733823643400994041e-01, 2.071947148849793585e+00
1.077596693281828444e-01, 2.274569908530602036e-02, 7.319903161440576012e-02, 1.733823643400994041e-01, 2.190697740912981306e+00
2.175300538872080303e-01, 2.257613041513326091e-02, 9.614946384380124167e-02, 1.733823643400994041e-01, 2.383341182670537073e+00
3.783984395868771888e-01, 2.245377273016098407e-02, 1.127109940906065588e-01, 1.733823643400994041e-01, 2.661025311164463503e+00
5.757528615371507730e-01, 2.243304137526245037e-02, 1.155190981822559748e-01, 1.733823643400994041e-01, 3.000000000000000000e+00
7.720827690481621985e-01, 2.258060169875784548e-02, 9.554724375066575570e-02, 1.733823643400994041e-01, 3.338974688835536497e+00
9.307626341444532603e-01, 2.281216178030487374e-02, 6.420422426725191922e-02, 1.733823643400994041e-01, 3.616658817329462927e+00
1.040051649115596222e+00, 2.300061028603424262e-02, 3.869691130278299362e-02, 1.733823643400994041e-01, 3.809302259087018250e+00
1.107245517028519366e+00, 2.312218520094682511e-02, 2.224112555297987417e-02, 1.733823643400994041e-01, 3.928052851150206415e+00
1.140607648269313490e+00, 2.318628010961792593e-02, 1.356664864695567886e-02, 1.733823643400994041e-01, 4.000000000000000000e+00
1.129101174348551062e+00, 5.160897844062717343e-02, 1.170876203549461175e-02, 3.859216166159118999e-01, 0.000000000000000000e+00
1.093718528232194176e+00, 5.181189347102990034e-02, -6.025287678710054568e-04, 3.859216166159118999e-01, 7.194714884979341862e-02
1.031067210011485047e+00, 5.211677278738709868e-02, -1.909969973109347519e-02, 3.859216166159118999e-01, 1.906977409129814449e-01
9.279631385044185832e-01, 5.251920635529210013e-02, -4.351437150958216427e-02, 3.859216166159118999e-01, 3.833411826705370173e-01
