xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T1-15.0 m/s-VLM2-NoBodyPanels
Freestream speed :  15.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500     0.000  -0.220193   0.003840   0.013475   0.017315  -0.000000   0.000000   0.087826   0.000000   0.000000   15.0000     0.3192
   -3.000     0.000  -0.188872   0.002823   0.013322   0.016145  -0.000000   0.000000   0.075800   0.000000   0.000000   15.0000     0.3190
   -2.500     0.000  -0.157489   0.001962   0.013155   0.015117  -0.000000   0.000000   0.063676   0.000000   0.000000   15.0000     0.3189
   -2.000     0.000  -0.126053   0.001256   0.012982   0.014238  -0.000000   0.000000   0.051456   0.000000   0.000000   15.0000     0.3188
   -1.500     0.000  -0.094576   0.000707   0.012813   0.013520  -0.000000   0.000000   0.039149   0.000000   0.000000   15.0000     0.3187
   -1.000     0.000  -0.063067   0.000314   0.012679   0.012993  -0.000000   0.000000   0.026758   0.000000   0.000000   15.0000     0.3186
   -0.500     0.000  -0.031539   0.000079   0.012595   0.012673  -0.000000   0.000000   0.014290   0.000000   0.000000   15.0000     0.3186
    0.000     0.000  -0.000000   0.000000   0.012534   0.012534  -0.000000  -0.000000   0.001745   0.000000   0.000000   15.0000     0.4759
    0.500     0.000   0.031538   0.000079   0.012594   0.012673  -0.000000  -0.000000  -0.010861   0.000000   0.000000   15.0000     0.3186
    1.000     0.000   0.063064   0.000314   0.012678   0.012993  -0.000000  -0.000000  -0.023539   0.000000   0.000000   15.0000     0.3186
    1.500     0.000   0.094569   0.000707   0.012814   0.013521  -0.000000  -0.000000  -0.036282   0.000000   0.000000   15.0000     0.3187
    2.000     0.000   0.126040   0.001256   0.012984   0.014240   0.000000  -0.000000  -0.049089   0.000000   0.000000   15.0000     0.3188
    2.500     0.000   0.157469   0.001961   0.013160   0.015121   0.000000  -0.000000  -0.061956   0.000000  -0.000000   15.0000     0.3189
    3.000     0.000   0.188844   0.002822   0.013340   0.016162   0.000000  -0.000000  -0.074881  -0.000000  -0.000000   15.0000     0.3191


