xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T2-VLM2-NoBodyPanels

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.100     0.000   0.006308   0.000003   0.006053   0.006056  -0.000000  -0.000000  -0.001625   0.000000   0.000000  121.3086     0.3186
    0.200     0.000   0.012616   0.000013   0.006240   0.006253  -0.000000  -0.000000  -0.004112   0.000000   0.000000   85.7785     0.3186
    0.300     0.000   0.018923   0.000028   0.006444   0.006472  -0.000000  -0.000000  -0.006620   0.000000   0.000000   70.0384     0.3186
    0.400     0.000   0.025231   0.000050   0.006630   0.006680  -0.000000  -0.000000  -0.009140   0.000000   0.000000   60.6556     0.3186
    0.500     0.000   0.031538   0.000079   0.006948   0.007027  -0.000000  -0.000000  -0.011624   0.000000   0.000000   54.2526     0.3186
    0.600     0.000   0.037844   0.000113   0.007200   0.007313  -0.000000  -0.000000  -0.014119   0.000000   0.000000   49.5263     0.3186
    0.700     0.000   0.044150   0.000154   0.007400   0.007554  -0.000000  -0.000000  -0.016624   0.000000   0.000000   45.8532     0.3186
    0.800     0.000   0.050456   0.000201   0.007570   0.007771  -0.000000  -0.000000  -0.019138   0.000000   0.000000   42.8925     0.3186
    0.900     0.000   0.056760   0.000255   0.007743   0.007998  -0.000000  -0.000000  -0.021662   0.000000   0.000000   40.4402     0.3186
    1.000     0.000   0.063064   0.000314   0.007892   0.008206  -0.000000  -0.000000  -0.024189   0.000000   0.000000   38.3658     0.3186
    1.100     0.000   0.069367   0.000380   0.008025   0.008405  -0.000000  -0.000000  -0.026721   0.000000   0.000000   36.5813     0.3186
    1.200     0.000   0.075669   0.000452   0.008145   0.008598  -0.000000  -0.000000  -0.029257   0.000000   0.000000   35.0249     0.3187
    1.300     0.000   0.081970   0.000531   0.008269   0.008800  -0.000000  -0.000000  -0.031795   0.000000   0.000000   33.6518     0.3187
    1.400     0.000   0.088270   0.000616   0.008378   0.008994  -0.000000  -0.000000  -0.034337   0.000000   0.000000   32.4287     0.3187
    1.500     0.000   0.094569   0.000707   0.008480   0.009186  -0.000000  -0.000000  -0.036882   0.000000   0.000000   31.3302     0.3187
    1.600     0.000   0.100866   0.000804   0.008573   0.009377  -0.000000  -0.000000  -0.039431   0.000000   0.000000   30.3364     0.3187
    1.700     0.000   0.107162   0.000908   0.008669   0.009576  -0.000000  -0.000000  -0.041981   0.000000   0.000000   29.4318     0.3187
    1.800     0.000   0.113456   0.001018   0.008811   0.009828  -0.000000  -0.000000  -0.044525   0.000000   0.000000   28.6037     0.3188
    1.900     0.000   0.119749   0.001134   0.008995   0.010129   0.000000  -0.000000  -0.047062   0.000000   0.000000   27.8420     0.3188
    2.000     0.000   0.126040   0.001256   0.009171   0.010427   0.000000  -0.000000  -0.049604   0.000000   0.000000   27.1382     0.3188
    2.100     0.000   0.132330   0.001385   0.009338   0.010722   0.000000  -0.000000  -0.052148   0.000000   0.000000   26.4855     0.3188
    2.200     0.000   0.138618   0.001520   0.009497   0.011017   0.000000  -0.000000  -0.054697   0.000000   0.000000   25.8778     0.3188
    2.300     0.000   0.144903   0.001661   0.009649   0.011309   0.000000  -0.000000  -0.057249   0.000000   0.000000   25.3103     0.3189
    2.400     0.000   0.151187   0.001808   0.009794   0.011602   0.000000  -0.000000  -0.059805   0.000000   0.000000   24.7787     0.3189
    2.500     0.000   0.157469   0.001961   0.009937   0.011898   0.000000  -0.000000  -0.062364   0.000000  -0.000000   24.2795     0.3189
    2.600     0.000   0.163748   0.002121   0.010083   0.012204   0.000000  -0.000000  -0.064928   0.000000  -0.000000   23.8094     0.3190
    2.700     0.000   0.170026   0.002287   0.010224   0.012511   0.000000  -0.000000  -0.067495  -0.000000  -0.000000   23.3657     0.3190
    2.800     0.000   0.176301   0.002459   0.010360   0.012820   0.000000  -0.000000  -0.070065  -0.000000  -0.000000   22.9461     0.3190
    2.900     0.000   0.182573   0.002638   0.010487   0.013124   0.000000  -0.000000  -0.072639  -0.000000  -0.000000   22.5485     0.3191
    3.000     0.000   0.188844   0.002822   0.010618   0.013440   0.000000  -0.000000  -0.075214  -0.000000  -0.000000   22.1710     0.3191
    3.100     0.000   0.195111   0.003013   0.010744   0.013758   0.000000  -0.000000  -0.077792  -0.000000  -0.000000   21.8120     0.3191
    3.200     0.000   0.201376   0.003210   0.010867   0.014078   0.000000  -0.000000  -0.080373  -0.000000  -0.000000   21.4700     0.3192
    3.300     0.000   0.207638   0.003413   0.010988   0.014401   0.000000  -0.000000  -0.082956  -0.000000  -0.000000   21.1438     0.3192
    3.400     0.000   0.213897   0.003623   0.011105   0.014728   0.000000  -0.000000  -0.085541  -0.000000  -0.000000   20.8321     0.3192
    3.500     0.000   0.220154   0.003838   0.011219   0.015057   0.000000  -0.000000  -0.088130  -0.000000  -0.000000   20.5340     0.3193
    3.600     0.000   0.226407   0.004060   0.011330   0.015390   0.000000  -0.000000  -0.090720  -0.000000  -0.000000   20.2484     0.3193
    3.700     0.000   0.232658   0.004288   0.011439   0.015727   0.000000  -0.000000  -0.093313  -0.000000  -0.000000   19.9746     0.3194
    3.800     0.000   0.238905   0.004522   0.011545   0.016067   0.000000  -0.000000  -0.095909  -0.000000  -0.000000   19.7117     0.3194
    3.900     0.000   0.245149   0.004762   0.011648   0.016410   0.000000  -0.000000  -0.098507  -0.000000  -0.000000   19.4591     0.3194
    4.000     0.000   0.251389   0.005009   0.011747   0.016755   0.000000  -0.000000  -0.101107  -0.000000  -0.000000   19.2160     0.3195
    4.100     0.000   0.257627   0.005261   0.011843   0.017104   0.000000  -0.000000  -0.103710  -0.000000  -0.000000   18.9820     0.3195
    4.200     0.000   0.263860   0.005520   0.011936   0.017456   0.000000  -0.000000  -0.106314  -0.000000  -0.000000   18.7564     0.3196
    4.300     0.000   0.270090   0.005784   0.012027   0.017812   0.000000  -0.000000  -0.108921  -0.000000  -0.000000   18.5388     0.3196
    4.400     0.000   0.276317   0.006055   0.012117   0.018172   0.000000  -0.000000  -0.111531  -0.000000  -0.000000   18.3287     0.3197
    4.500     0.000   0.282540   0.006332   0.012205   0.018536   0.000000  -0.000000  -0.114142  -0.000000  -0.000000   18.1258     0.3197
    4.600     0.000   0.288758   0.006615   0.012289   0.018904   0.000000  -0.000000  -0.116756  -0.000000  -0.000000   17.9295     0.3198
    4.700     0.000   0.294973   0.006904   0.012378   0.019282   0.000000  -0.000000  -0.119370  -0.000000  -0.000000   17.7396     0.3198


