xflr5 v6.32

Plane name :        UltraStick25e
Polar name :        T7-VLM2-Elev(g1.0)-NoBodyPanels

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    5.862     0.000   0.297123   0.008301   0.012821   0.021122   0.000000  -0.000000   0.001150  -0.000000  -0.000000   17.6753     0.2151
    5.756     0.000   0.291856   0.008008   0.012724   0.020732   0.000000  -0.000000   0.001150  -0.000000  -0.000000   17.8341     0.2151
    5.649     0.000   0.286576   0.007720   0.012461   0.020181   0.000000  -0.000000   0.001129  -0.000000  -0.000000   17.9977     0.2152
    5.542     0.000   0.281282   0.007436   0.012386   0.019821   0.000000  -0.000000   0.001132  -0.000000  -0.000000   18.1662     0.2152
    5.436     0.000   0.275975   0.007156   0.012308   0.019464   0.000000  -0.000000   0.001135  -0.000000  -0.000000   18.3401     0.2153
    5.329     0.000   0.270655   0.006882   0.012228   0.019110   0.000000  -0.000000   0.001137  -0.000000  -0.000000   18.5195     0.2153
    5.222     0.000   0.265321   0.006612   0.012147   0.018759   0.000000  -0.000000   0.001139  -0.000000  -0.000000   18.7047     0.2154
    5.114     0.000   0.259975   0.006347   0.012062   0.018410  -0.000000  -0.000000   0.001141   0.000000   0.000000   18.8960     0.2154
    5.007     0.000   0.254615   0.006087   0.011974   0.018062  -0.000000  -0.000000   0.001141   0.000000   0.000000   19.0939     0.2155
    4.899     0.000   0.249242   0.005832   0.011884   0.017716  -0.000000  -0.000000   0.001142   0.000000   0.000000   19.2986     0.2155
    4.792     0.000   0.243856   0.005582   0.011791   0.017373  -0.000000  -0.000000   0.001142   0.000000   0.000000   19.5105     0.2156
    4.684     0.000   0.238457   0.005336   0.011696   0.017032   0.000000  -0.000000   0.001141  -0.000000  -0.000000   19.7302     0.2157
    4.576     0.000   0.233045   0.005096   0.011602   0.016698   0.000000  -0.000000   0.001141  -0.000000  -0.000000   19.9580     0.2157
    4.467     0.000   0.227620   0.004861   0.011504   0.016365   0.000000  -0.000000   0.001140  -0.000000  -0.000000   20.1944     0.2158
    4.359     0.000   0.222181   0.004631   0.011406   0.016036   0.000000  -0.000000   0.001139  -0.000000  -0.000000   20.4401     0.2158
    4.251     0.000   0.216730   0.004405   0.011306   0.015711   0.000000  -0.000000   0.001137  -0.000000  -0.000000   20.6955     0.2159
    4.142     0.000   0.211266   0.004185   0.011203   0.015388   0.000000  -0.000000   0.001135  -0.000000  -0.000000   20.9615     0.2160
    4.033     0.000   0.205788   0.003970   0.011098   0.015068   0.000000  -0.000000   0.001133  -0.000000  -0.000000   21.2386     0.2160
    3.924     0.000   0.200298   0.003761   0.010989   0.014749   0.000000  -0.000000   0.001130  -0.000000  -0.000000   21.5277     0.2161
    3.815     0.000   0.194795   0.003556   0.010876   0.014432   0.000000  -0.000000   0.001126  -0.000000  -0.000000   21.8297     0.2161
    3.706     0.000   0.189278   0.003357   0.010759   0.014117   0.000000  -0.000000   0.001122  -0.000000  -0.000000   22.1455     0.2162
    3.596     0.000   0.183749   0.003164   0.010638   0.013802   0.000000  -0.000000   0.001117  -0.000000  -0.000000   22.4762     0.2163
    3.487     0.000   0.178207   0.002975   0.010522   0.013497   0.000000  -0.000000   0.001113  -0.000000  -0.000000   22.8231     0.2163
    3.377     0.000   0.172649   0.002792   0.010395   0.013187   0.000000  -0.000000   0.001109  -0.000000  -0.000000   23.1875     0.2164
    3.267     0.000   0.167081   0.002615   0.010265   0.012880   0.000000  -0.000000   0.001102  -0.000000  -0.000000   23.5707     0.2165
    3.157     0.000   0.161500   0.002442   0.010132   0.012575   0.000000  -0.000000   0.001096  -0.000000  -0.000000   23.9745     0.2166
    3.046     0.000   0.155907   0.002276   0.009995   0.012271   0.000000  -0.000000   0.001089  -0.000000  -0.000000   24.4008     0.2166
    2.936     0.000   0.150300   0.002115   0.009860   0.011975   0.000000  -0.000000   0.001079  -0.000000  -0.000000   24.8517     0.2167
    2.825     0.000   0.144680   0.001959   0.009720   0.011680   0.000000  -0.000000   0.001068  -0.000000  -0.000000   25.3298     0.2168
    2.715     0.000   0.139048   0.001810   0.009575   0.011385   0.000000  -0.000000   0.001056  -0.000000  -0.000000   25.8377     0.2168
    2.604     0.000   0.133403   0.001665   0.009425   0.011090   0.000000  -0.000000   0.001044  -0.000000  -0.000000   26.3787     0.2169
    2.492     0.000   0.127744   0.001527   0.009268   0.010795   0.000000  -0.000000   0.001030  -0.000000  -0.000000   26.9566     0.2170
    2.381     0.000   0.122073   0.001394   0.009107   0.010501   0.000000  -0.000000   0.001016  -0.000000  -0.000000   27.5757     0.2171
    2.270     0.000   0.116389   0.001267   0.008939   0.010207   0.000000  -0.000000   0.001000  -0.000000  -0.000000   28.2410     0.2171
    2.158     0.000   0.110692   0.001146   0.008772   0.009918   0.000000  -0.000000   0.000985  -0.000000  -0.000000   28.9586     0.2172
    2.046     0.000   0.104982   0.001031   0.008661   0.009692   0.000000  -0.000000   0.000981  -0.000000  -0.000000   29.7357     0.2173
    1.934     0.000   0.099260   0.000921   0.008571   0.009492   0.000000  -0.000000   0.000982  -0.000000  -0.000000   30.5809     0.2174
    1.822     0.000   0.093524   0.000818   0.008478   0.009296   0.000000  -0.000000   0.000982  -0.000000  -0.000000   31.5046     0.2175
    1.709     0.000   0.087775   0.000720   0.008381   0.009101   0.000000  -0.000000   0.000982   0.000000  -0.000000   32.5199     0.2175
    1.597     0.000   0.082014   0.000629   0.008281   0.008910   0.000000  -0.000000   0.000982  -0.000000  -0.000000   33.6428     0.2176
    1.484     0.000   0.076240   0.000543   0.008170   0.008714   0.000000  -0.000000   0.000981  -0.000000  -0.000000   34.8936     0.2177
    1.371     0.000   0.070452   0.000464   0.008063   0.008527   0.000000  -0.000000   0.000981   0.000000   0.000000   36.2985     0.2178
    1.258     0.000   0.064652   0.000391   0.007945   0.008336   0.000000  -0.000000   0.000980   0.000000   0.000000   37.8918     0.2179
    1.144     0.000   0.058839   0.000324   0.007814   0.008137  -0.000000  -0.000000   0.000978   0.000000   0.000000   39.7195     0.2180
    1.031     0.000   0.053014   0.000263   0.007645   0.007908  -0.000000  -0.000000   0.000976   0.000000   0.000000   41.8446     0.2181
    0.917     0.000   0.047174   0.000208   0.007498   0.007706  -0.000000  -0.000000   0.000967   0.000000   0.000000   44.3591     0.2181
    0.803     0.000   0.041323   0.000160   0.007321   0.007481  -0.000000  -0.000000   0.000956   0.000000   0.000000   47.3960     0.2182
    0.689     0.000   0.035458   0.000117   0.007116   0.007233   0.000000  -0.000000   0.000939  -0.000000  -0.000000   51.1654     0.2183
    0.575     0.000   0.029581   0.000082   0.006859   0.006941  -0.000000  -0.000000   0.000914   0.000000   0.000000   56.0182     0.2184
    0.460     0.000   0.023691   0.000052   0.006565   0.006617  -0.000000  -0.000000   0.000898   0.000000   0.000000   62.5958     0.2185
    0.345     0.000   0.017788   0.000030   0.006411   0.006440  -0.000000  -0.000000   0.000901   0.000000   0.000000   72.2395     0.2186
    0.231     0.000   0.011872   0.000013   0.006225   0.006238  -0.000000  -0.000000   0.000898   0.000000   0.000000   88.4263     0.2187
    0.115     0.000   0.005942   0.000003   0.006032   0.006036  -0.000000  -0.000000   0.000876   0.000000   0.000000  124.9861     0.2188


