Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),Rho (slugs/ft^3),Absolute Viscosity,Kinematic Viscosity,Temperature (R),P_{SL} (psf),P_{Ambient} (psf),Turbulence Magnitude (ft/sec),Turbulence X Direction (deg),Wind V_{North} (ft/s),Wind V_{East} (ft/s),Wind V_{Down} (ft/s),Roll Turbulence (deg/sec),Pitch Turbulence (deg/sec),Yaw Turbulence (deg/sec),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/sensor/imu/time_us,/fdm/jsbsim/sensor/imu/accelX_true_fps2,/fdm/jsbsim/sensor/imu/accelY_true_fps2,/fdm/jsbsim/sensor/imu/accelZ_true_fps2,/fdm/jsbsim/sensor/gps/time_us,/fdm/jsbsim/sensor/gps/lat_true_rad,/fdm/jsbsim/sensor/gps/long_true_rad,/fdm/jsbsim/sensor/gps/alt_true_m,/fdm/jsbsim/sensor/gps/vNorth_true_mps,/fdm/jsbsim/sensor/gps/vEast_true_mps,/fdm/jsbsim/sensor/gps/vDown_true_mps,/fdm/jsbsim/sensor/pitot/time_us,/fdm/jsbsim/sensor/pitot/presStatic_true_Pa,/fdm/jsbsim/sensor/pitot/presTip_true_Pa,/fdm/jsbsim/sensor/pitot/temp_true_C
0,0,0,0,-2.40200143660595e-06,2.429341999748508e-08,-2.327546695532534e-07,1.739472787576525e-19,-0.002978288855890804,-0.002930204591043608,0,0,0,1087.8321849,0,-0,0,-1.159604522334205e-15,0.1078123347357943,32.05949131017626,1.226461817081123,22.82400028999989,-22.56110397163449,0,0,0,0,-0,0,1086.265011107247,-58.37112436148881,0,0,0,0,0,0,0,0.002249458061,3.699736034e-07,0.0001644723277,511.9966591,2116.228,1976.984648,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,1871.4639136009,935.73195679858,-3.337997295762772e-15,-1.350150619848074e-15,89.99999999999999,0.7071067811865476,-1.226634733346699e-17,-2.892901720254185e-17,0.7071067811865475,-0.3863003056770254,0.9219825129489676,-0.02475379482627349,0.01037156168772707,-0.3863003056770254,0.9219825129489676,-0.02475379482627349,0.01037156168772707,0,0,44.533728074265,44.725801,-93.075866,-800469.0595456711,-14896432.80594515,14677075.31380894,-800469.0595456711,-14896432.80594515,14677075.31380894,0,935.73195679858,935.73195680231,0,-3.8089884783336293e-09,3.76935063641752789e-09,-7.16604010380711803e-10,0,0.78061248804177219,-1.62448031584504449,570.422200865551872,0,0,0,0,94658.5389533979032,0,11.2925883730373293
0.02,0.07318070455253385,3.436254610895101e-05,0.01475953460166469,-1.496644373443863,0.01755198287361522,-0.3016051028047062,0.073760051082137,-0.002943926740875321,0.01188717425237504,3.314819481e-10,2.731120705,0.000535435908845,1087.78373873,-1.861079453936799e-06,0.0005354319155094381,-9.015087467838874e-07,7.983649468346934e-05,0.05380766876543625,0.0001471197384045328,0.002343548348232895,0.04161181181671168,-0.03844670355317881,6.339303268331447,-0.05401141973612682,-31.42928558804963,-1.861079453936799e-06,0.0005354319155094381,-9.015087467838874e-07,1086.216678396561,-58.36771204388857,-0.0003813144141032184,-2.216883265555567e-05,-0.0003752325584709686,-0.0003813144141032949,-0.0005354319154848948,-2.002589136507424e-06,-5.1574978905725e-07,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968070343,0.68772390112281,-1.559871043703082e-07,11.40339508338394,90.00000063352191,0.7036084561397382,-0.07025051622101326,0.07025051352868429,0.7036084641108237,-0.3819299305523848,0.9163906864207184,-0.0630099781369215,0.1019185000129016,-0.3819299862924286,0.9163907208812956,-0.06300947695494086,0.1019182911321116,0,0,44.533719491973,44.725800999967,-93.075866,-800417.1191938943,-14895770.30210005,14676417.3057186,-800433.412443924,-14895769.42658109,14676417.3057186,6.2671111983606e-05,0.68772390112281,935.73195680231,20000,6.33934218875947231,-0.145292567435042763,-31.4320833884172401,20000,0.780612488041197317,-1.62448031584504338,285.420718678405876,-0.000163199647839795935,-6.10389168807462851e-07,-1.57200535704649792e-07,20000,97943.5179193835065,6.43906431701645113e-08,13.1448486231282882
0.04,0.08190574530662142,0.0001226585911958635,0.0165199888132585,-1.051369769546528,0.001074410795983115,-0.2119951091167518,0.08248507606637465,-0.002855709633704464,0.01364770713420802,1.04674041e-09,4.853225254,0.000951474268589,1087.78373918,-2.125600242858073e-06,0.00095146806132989,2.700718232186952e-06,2.897983699460223e-05,-0.002582805172785155,-0.0001306224916885513,0.004350898067199839,0.08092253490736492,0.001934018982601676,6.339252765888194,-0.1112656496438134,-31.4295595815253,-2.125600242858073e-06,0.00095146806132989,2.700718232186952e-06,1086.216748455809,-58.36641669363681,-0.0006804117877604361,-3.723481878359576e-05,-0.0006640456694619175,-0.0006804117878229889,-0.0009514679783766231,-1.549676971375534e-06,3.093298342491764e-06,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968074441,0.687723942101,0.001574459487187503,11.40339694946548,90.00031195489562,0.7036075087087694,-0.0702410501900194,0.07026000251123951,0.7036094091540838,-0.3819423009133777,0.9163854738956314,-0.06301107914256054,0.1019183297941638,-0.3819424309704851,0.9163855543108615,-0.06300990972413259,0.1019178423891266,0,0,44.533719491928,44.725800999922,-93.075866,-800395.3948596858,-14895771.46944245,14676417.30570694,-800433.412444578,-14895769.42659259,14676417.30570694,0.00014623259462841,0.687723942101,935.73195680231,40000,6.33918702916300436,-0.112058271924949576,-31.4294443945034061,40000,0.780612488040413832,-1.62448031584504582,285.420718690896024,-0.000290007439809194709,-4.72341540875262789e-07,9.42837334791489617e-07,40000,97943.5179192375799,5.76855410580987844e-08,13.1448486230471282
0.06,0.05808329548715935,0.0001018425299750677,0.01171491509735683,-1.594950642323085,-0.002421596765177922,-0.3216488099111434,0.05866261084911593,-0.002876602916208134,0.00884271038787959,5.698346607e-10,3.580843861,0.000702024038652,1087.78373951,-1.404465856744825e-06,0.0007020222127800287,7.688202102114393e-07,3.85115252816658e-05,-0.01769150795481508,-4.158567139800906e-05,0.004949399828019113,0.09156169245093411,0.01264526080515681,6.339263165408473,-0.1272193390092481,-31.42946811259299,-1.404465856744825e-06,0.0007020222127800287,7.688202102114393e-07,1086.216843211925,-58.36465929709978,-0.0005011774884305076,-2.760063182643643e-05,-0.0004908126740997897,-0.0005011774885205204,-0.0007020221568710248,-1.224741295507786e-06,1.068739844228027e-06,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968069598,0.68772389367223,0.00311487420253915,11.40339936261553,90.00061651294438,0.7036065813759831,-0.07023179340662784,0.07026928903864589,0.7036103331728031,-0.3819544021952198,0.9163803738957983,-0.06301215819670788,0.1019181680237506,-0.3819546065690716,0.9163805002664788,-0.06301032054919457,0.1019174020769413,0,0,44.533719491882,44.725800999876,-93.075866,-800373.6705237792,-14895772.63675337,14676417.30569495,-800433.4124452365,-14895769.42660431,14676417.30569495,0.00022979407727322,0.68772389367223,935.73195680231,59999.9999999999927,6.33924972864091529,-0.125857019975027185,-31.4294633600693913,59999.9999999999927,0.780612488039612362,-1.62448031584504782,285.420718676134982,-0.000213976353414288366,-3.73301146870773232e-07,3.2575190452070248e-07,59999.9999999999927,97943.5179194100929,3.49261830886267645e-08,13.1448486231430675
0.08,0.02693406699799151,4.895545082095836e-05,0.005432914905345266,-1.387632151168122,-0.002774735914967494,-0.2799456688353756,0.02751337275558026,-0.002929538193119769,0.0025607582399669,1.2661208e-10,1.687907042,0.000330913986978,1087.78374014,-6.485058950453151e-07,0.000330913273603337,2.270928551375564e-07,3.460233184557822e-05,-0.01721306184799068,1.210249937180405e-07,0.004937194678422259,0.09125546439743605,0.01227557176007996,6.339259877077978,-0.1272683053282432,-31.42942501751978,-6.485058950453151e-07,0.000330913273603337,2.270928551375564e-07,1086.216942902268,-58.36281576751593,-0.0002361497139923668,-1.30285993855531e-05,-0.0002314468296539741,-0.0002361497140431208,-0.0003309132483601078,-5.908080201821754e-07,3.739078998013663e-07,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.4196806848,0.68772388249636,0.004076347456002238,11.40340099701316,90.00080660829732,0.7036060024158317,-0.07022601645144796,0.07027508617154973,0.7036109097714102,-0.3819619552846503,0.9163771904520712,-0.06301283214410978,0.1019180680998039,-0.3819622339764648,0.9163773627746103,-0.06301032626992015,0.1019170236063537,0,0,44.533719491854,44.725800999848,-93.075866,-800351.9461859155,-14895773.80402808,14676417.30568763,-800433.4124456402,-14895769.42661148,14676417.30568763,0.00031335555991803,0.68772388249636,935.73195680231,80000,6.33925356637979931,-0.128099245186548999,-31.4294134977873583,80000,0.780612488039122199,-1.62448031584504893,285.420718672728526,-0.00010086235810016085,-1.80078284551527058e-07,1.1396712785945646e-07,80000,97943.5179194498342,9.81465654911751351e-09,13.1448486231651724
0.1,0.003350620304816826,3.630406381522055e-06,0.0006759266131850145,-0.8062878808168046,-0.001594543025892905,-0.1626235745085327,0.003929922485458827,-0.002974881182444719,-0.002196212164290649,2.3798551e-12,0.2314121787,4.53683317585e-05,1087.78374067,-7.800927778757591e-08,4.536817149732498e-05,9.195701183990193e-08,2.204424929625483e-05,-0.01073995155909098,2.390312813575384e-06,0.004681811765473822,0.08672638305230722,0.007657831582397565,6.339247515420616,-0.1209915626696707,-31.42942217955052,-7.800927778757591e-08,4.536817149732498e-05,9.195701183990193e-08,1086.217039284849,-58.36103184822949,-3.241659302737797e-05,-1.761332114544431e-06,-3.169144572625536e-05,-3.241659303453082e-05,-4.536816336229999e-05,-5.828852112139223e-08,1.090072670667717e-07,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968068108,0.68772387877107,0.004434325453688292,11.40340158906304,90.00087738909298,0.7036057868273389,-0.07022386546699123,0.07027724447398356,0.7036111244728693,-0.381964767466955,0.9163760051821477,-0.06301308304799916,0.1019180307556918,-0.3819651204774412,0.9163762234535577,-0.06300990894496007,0.1019167077211768,0,0,44.533719491844,44.725800999838,-93.075866,-800330.2218460841,-14895774.97126639,14676417.30568511,-800433.4124457786,-14895769.42661395,14676417.30568511,0.00039691704256284,0.68772387877107,935.73195680231,100000.000000000015,6.33924521560877885,-0.122717177817560669,-31.4294138550223039,100000.000000000015,0.780612488038953556,-1.62448031584504937,285.420718671593079,-1.38282161928290372e-05,-1.7766341237800352e-08,3.32254150019520251e-08,100000.000000000015,97943.5179194631201,5.9662930955895274e-10,13.1448486231725621
0.12,-0.008402385673886532,-1.873597658971818e-05,-0.001694615660787492,-0.2574456894761087,-0.0004885329353913583,-0.05192841071000596,-0.007823083091088187,-0.002997245531191808,-0.004566756466713429,1.127189627e-11,0.5036275103,9.87361170995e-05,1087.78374094,2.053438747478523e-07,-9.873589325746769e-05,4.512675685412163e-08,9.070802358520361e-06,-0.003981406233754051,-4.688441277401765e-07,0.004414119840084299,0.08199417294044951,0.002839881493112539,6.339234468283071,-0.1142107571264723,-31.42942511932253,2.053438747478523e-07,-9.873589325746769e-05,4.512675685412163e-08,1086.217130084613,-58.35934686015658,7.038533494474001e-05,3.925400218055323e-06,6.913260213307997e-05,7.038533496030899e-05,9.873589326034402e-05,2.102136690711527e-07,-3.78587134888581e-09,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968067735,0.68772387504578,0.004393745079671193,11.40340145842993,90.00086936815019,0.7036058112889439,-0.07022410891407593,0.07027699941706678,0.7036111001908182,-0.3819644487113711,0.9163761396017797,-0.06301305441611806,0.101918034471503,-0.3819648760405912,0.9163764038204133,-0.06300921208041559,0.1019164329049348,0,0,44.533719491846,44.725800999841,-93.075866,-800308.4975043813,-14895776.13847001,14676417.30568565,-800433.4124457479,-14895769.42661341,14676417.30568565,0.00048047852520765,0.68772387504578,935.73195680231,120000.000000000044,6.33923323657514448,-0.115730322074938968,-31.4294189924242566,120000.000000000044,0.780612488038989971,-1.62448031584504937,285.420718670457632,3.0094700265752862e-05,6.40731263328873641e-08,-1.15393358714039509e-09,120000.000000000044,97943.517919476406,3.14206990546790813e-10,13.1448486231799517
0.14,-0.01064254607585624,-2.256560907745006e-05,-0.002146491127929215,0.08081948872604915,3.832453143249132e-05,0.01629766529832678,-0.0100632414562538,-0.003001064920913429,-0.005018642145109387,1.886861299e-11,0.6515997993,0.000127746067819,1087.78374099,2.652189991757242e-07,-0.0001277457908934531,-2.027431047619242e-08,-1.083004499207767e-06,0.000476145865923705,1.809566172766894e-05,0.004240793207719854,0.07888743619602591,-0.0003520403925590665,6.339224147559208,-0.1096411200986304,-31.42940697178757,2.652189991757242e-07,-0.0001277457908934531,-2.027431047619242e-08,1086.217216330177,-58.35774243761627,9.111916438158952e-05,5.059827406840919e-06,8.939101673048046e-05,9.111916440190953e-05,0.0001277457853935888,2.559763571822478e-07,-8.146826376041292e-08,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968068108,0.68772387877107,0.004189414433006133,11.40340102698619,90.00082897089769,0.7036059343802509,-0.07022533610477667,0.07027576690062533,0.7036109777230964,-0.3819628435924083,0.9163768162282484,-0.06301291092171928,0.1019180550260756,-0.3819633452402116,0.9163771263930974,-0.06300840035044911,0.1019161749341871,0,0,44.533719491853,44.725800999847,-93.075866,-800286.7731609113,-14895777.30564081,14676417.30568737,-800433.4124456521,-14895769.42661173,14676417.30568737,0.00056404000785245,0.68772387877107,935.73195680231,140000.000000000029,6.33922643248347217,-0.110525803713895976,-31.4294425913573789,140000.000000000029,0.780612488039104879,-1.62448031584504893,285.420718671593079,3.89369153879658546e-05,7.80215936691491211e-08,-2.48315267941738609e-08,140000.000000000029,97943.5179194631201,9.1313567233134027e-10,13.1448486231725621
0.16,-0.007819368083078888,-1.617295482550303e-05,-0.001576746253245422,0.2031160995743914,0.0003818520685390211,0.04094126350786539,-0.007240061427705641,-0.002994662031845413,-0.00444890747356959,1.038987241e-11,0.4835218013,9.47943950849e-05,1087.78374092,1.952835757203201e-07,-9.479418883774119e-05,-3.108737132229481e-08,-4.438449242058318e-06,0.002298693068810267,7.76758349025672e-06,0.004166428629897804,0.07760470843416285,-0.001644664599475903,6.3392206443498,-0.1077065753297863,-31.42941773313629,1.952835757203201e-07,-9.479418883774119e-05,-3.108737132229481e-08,1086.217300129039,-58.3561813420009,6.762586398164299e-05,3.749426219016886e-06,6.632240694692346e-05,6.762586399684564e-05,9.479418391554822e-05,1.852832195908596e-07,-7.554759285599792e-08,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.41968068108,0.68772387877107,0.00398524310592357,11.40340061189553,90.00078861001305,0.7036060573336416,-0.07022656244060557,0.07027453544120318,0.7036108553686972,-0.3819612397114729,0.9163774923105589,-0.06301276763187839,0.1019180756770939,-0.381961815677687,0.9163778484209273,-0.06300758882402333,0.1019159170621649,0,0,44.533719491859,44.725800999853,-93.075866,-800265.0488157442,-14895778.47278001,14676417.30568899,-800433.4124455616,-14895769.42661013,14676417.30568899,0.00064760149049726,0.68772387877107,935.73195680231,160000.000000000058,6.33922093555908805,-0.107988329809322395,-31.4294349776387811,160000.000000000058,0.780612488039213681,-1.62448031584504871,285.420718671593079,2.88932672574590996e-05,5.64743253312940221e-08,-2.3026906302508167e-08,160000.000000000058,97943.5179194631201,6.22147404085945764e-10,13.1448486231725621
0.18,-0.003743064048242812,-7.971952084915181e-06,-0.000755563913359115,0.1842749129918479,0.0004322626689003068,0.03726062339039143,-0.003163756089449197,-0.002986454477255276,-0.003627731665174765,2.446277351e-12,0.2346193356,4.59970945143e-05,1087.78374084,9.326454931159257e-08,-4.599694441711808e-05,7.148264417718088e-08,-6.768383578543028e-06,0.002288176400957312,-2.667468870552619e-06,0.004162001050506987,0.07760534734348498,-0.001630306328545092,6.339218226602575,-0.107645396603079,-31.42942844711671,9.326454931159257e-08,-4.599694441711808e-05,7.148264417718088e-08,1086.217383325041,-58.3546312586285,3.275428093077314e-05,1.838223518641533e-06,3.224144411704862e-05,3.275428093816638e-05,4.599694772597219e-05,1.05557225036881e-07,4.859835398704583e-08,0.002312463523,3.718489303e-07,0.0001608020739,515.3307275,2116.228,2045.592859,0,0,0,0,0,0,0,0,0.05273832175,           0,-0.01032494063,           0,0.06369013378,           0,-0.01032494063,           0,0.1133088485,0.1342341375,4.318855716,8.7401574936,0,1.8110236248,936.4196806848,0.68772388249636,0.003854542580015068,11.40340035238656,90.00076277475704,0.7036061360262508,-0.07022734752059534,0.07027374715831526,0.7036107770494858,-0.3819602129797345,0.9163779250986013,-0.06301267594006399,0.1019180889408714,-0.3819608632641646,0.9163783271540616,-0.06300682889616104,0.1019156518015109,0,0,44.533719491863,44.725800999857,-93.075866,-800243.3244689101,-14895779.63988814,14676417.30568999,-800433.4124455062,-14895769.42660915,14676417.30568999,0.00073116297314207,0.68772388249636,935.73195680231,180000.000000000087,6.33922098206272544,-0.107562117934699109,-31.4294188357960351,180000.000000000087,0.780612488039280628,-1.62448031584504848,285.420718672728526,1.40198696668763234e-05,3.21738421912413221e-08,1.48127782952515685e-08,180000.000000000087,97943.5179194498342,1.85360129000874676e-10,13.1448486231651724
